subject_id,rt,is_correct,response_text,target,angle,targetFreq,outer_loop_iteration
0og2o11kwq,4987,1,blit,blit,285,LF,NA
0og2o11kwq,2804,1,noom,noom,15,HF,NA
0og2o11kwq,4160,1,gorm,gorm,240,HF,NA
0og2o11kwq,5099,1,gled,gled,150,LF,NA
100cs4w6vo,2474,1,clate,clate,285,LF,NA
100cs4w6vo,2954,1,gorm,gorm,330,LF,NA
100cs4w6vo,1629,1,grah,grah,15,HF,NA
100cs4w6vo,2511,1,noobda,noobda,195,HF,NA
100cs4w6vo,2272,1,gled,gled,60,HF,NA
100cs4w6vo,3579,1,blit,blit,240,HF,NA
100cs4w6vo,1709,1,pim,pim,150,LF,NA
100cs4w6vo,1326,1,noom,noom,105,LF,NA
17uwg19m6q,6210,1,grah,grah,330,LF,NA
17uwg19m6q,4286,1,blit,blit,195,HF,NA
17uwg19m6q,3703,1,gled,gled,105,LF,NA
17uwg19m6q,4260,1,clate,clate,240,HF,NA
17uwg19m6q,4451,1,noobda,noobda,150,LF,NA
17uwg19m6q,8490,1,gorm,gorm,15,HF,NA
17uwg19m6q,3985,1,noom,noom,60,HF,NA
17uwg19m6q,3464,1,pim,pim,285,LF,NA
1soyo4hsam,15851,1,gorm,gorm,240,HF,NA
1soyo4hsam,4837,1,gled,gled,60,HF,NA
1soyo4hsam,4657,1,blit,blit,105,LF,NA
1soyo4hsam,3870,1,clate,clate,285,LF,NA
1soyo4hsam,3732,1,noom,noom,150,LF,NA
1soyo4hsam,11378,1,noobda,noobda,15,HF,NA
1soyo4hsam,10508,1,grah,grah,195,HF,NA
1soyo4hsam,3638,1,pim,pim,330,LF,NA
228trnawa2,5277,1,gorm,gorm,195,HF,NA
228trnawa2,10240,1,gled,gled,150,LF,NA
228trnawa2,3254,1,clate,clate,105,LF,NA
228trnawa2,2644,1,blit,blit,240,HF,NA
228trnawa2,3594,1,noobda,noobda,60,HF,NA
228trnawa2,2260,1,noom,noom,15,HF,NA
228trnawa2,3297,1,grah,grah,330,LF,NA
228trnawa2,2963,1,pim,pim,285,LF,NA
2ajfjw1an2,9383,1,noom,noom,150,LF,NA
2ajfjw1an2,3519,1,pim,pim,15,HF,NA
2ajfjw1an2,10663,1,gorm,gorm,60,HF,NA
2ajfjw1an2,8734,1,grah,grah,330,LF,NA
2ajfjw1an2,4743,1,blit,blit,105,LF,NA
2ajfjw1an2,4047,1,noobda,noobda,240,HF,NA
2ajfjw1an2,9639,1,gled,gled,195,HF,NA
2ajfjw1an2,4631,1,clate,clate,285,LF,NA
2zsvx9rzg5,9990,1,gorm,gorm,105,LF,NA
2zsvx9rzg5,15164,1,noom,noom,285,LF,NA
2zsvx9rzg5,7958,1,noobda,noobda,150,LF,NA
2zsvx9rzg5,3314,1,pim,pim,60,HF,NA
2zsvx9rzg5,6302,1,gled,gled,240,HF,NA
2zsvx9rzg5,4334,1,grah,grah,330,LF,NA
2zsvx9rzg5,3044,1,clate,clate,195,HF,NA
2zsvx9rzg5,2518,1,blit,blit,15,HF,NA
347ayj5ekt,5759,1,gled,gled,285,LF,NA
347ayj5ekt,5666,1,clate,clate,195,HF,NA
347ayj5ekt,3631,1,blit,blit,15,HF,NA
347ayj5ekt,3771,0,grom,gorm,240,HF,NA
347ayj5ekt,4967,1,noobda,noobda,150,LF,NA
347ayj5ekt,3208,1,noom,noom,105,LF,NA
347ayj5ekt,3174,1,pim,pim,60,HF,NA
347ayj5ekt,5055,1,grah,grah,330,LF,NA
37mv25m0z1,3813,1,clate,clate,330,LF,NA
37mv25m0z1,4760,1,noom,noom,285,LF,NA
