subject_id,is_correct,response_text,target,angle,targetFreq
004wqdkhf0,1,noom,noom,15,HF
004wqdkhf0,0,NA,gled,60,HF
004wqdkhf0,1,gled,gled,60,HF
004wqdkhf0,0,NA,blit,105,LF
004wqdkhf0,1,blit,blit,105,LF
004wqdkhf0,0,NA,clate,150,LF
004wqdkhf0,1,clate,clate,150,LF
004wqdkhf0,1,grah,grah,195,HF
004wqdkhf0,1,noobda,noobda,240,HF
004wqdkhf0,0,NA,pim,285,LF
004wqdkhf0,1,pim,pim,285,LF
004wqdkhf0,1,gorm,gorm,330,LF
00svyxzszl,1,pim,pim,15,HF
00svyxzszl,1,noom,noom,60,HF
00svyxzszl,1,gorm,gorm,105,LF
00svyxzszl,1,grah,grah,150,LF
00svyxzszl,1,clate,clate,195,HF
00svyxzszl,1,noobda,noobda,240,HF
00svyxzszl,1,gled,gled,285,LF
00svyxzszl,1,blit,blit,330,LF
0816avbpvr,1,noom,noom,15,HF
0816avbpvr,1,clate,clate,60,HF
0816avbpvr,1,grah,grah,105,LF
0816avbpvr,1,blit,blit,150,LF
0816avbpvr,1,pim,pim,195,HF
0816avbpvr,1,gled,gled,240,HF
0816avbpvr,1,gorm,gorm,285,LF
0816avbpvr,1,noobda,noobda,330,LF
0gfsz2bllc,1,gled,gled,15,HF
0gfsz2bllc,1,gorm,gorm,60,HF
0gfsz2bllc,1,pim,pim,105,LF
0gfsz2bllc,1,grah,grah,150,LF
0gfsz2bllc,1,blit,blit,195,HF
0gfsz2bllc,1,clate,clate,240,HF
0gfsz2bllc,1,noobda,noobda,285,LF
0gfsz2bllc,1,noom,noom,330,LF
0og2o11kwq,1,noom,noom,15,HF
0og2o11kwq,0,NA,noobda,60,HF
0og2o11kwq,1,noobda,noobda,60,HF
0og2o11kwq,1,pim,pim,105,LF
0og2o11kwq,1,gled,gled,150,LF
0og2o11kwq,1,clate,clate,195,HF
0og2o11kwq,1,gorm,gorm,240,HF
0og2o11kwq,1,blit,blit,285,LF
0og2o11kwq,0,NA,grah,330,LF
0og2o11kwq,1,grah,grah,330,LF
100cs4w6vo,1,grah,grah,15,HF
100cs4w6vo,1,gled,gled,60,HF
100cs4w6vo,1,noom,noom,105,LF
100cs4w6vo,1,pim,pim,150,LF
100cs4w6vo,1,noobda,noobda,195,HF
100cs4w6vo,1,blit,blit,240,HF
100cs4w6vo,1,clate,clate,285,LF
