block_id,trial_id,target_name,target_frequency,target_angle,target_side,foil_name,foil_frequency,foil_angle,foil_side
1,1,blit,high,15,left,pim,low,105,right
1,2,pim,low,105,left,noobda,high,240,right
1,3,grah,high,60,right,clate,high,195,left
1,4,clate,high,195,left,grah,high,60,right
1,5,grah,high,60,right,blit,high,15,left
1,6,clate,high,195,right,noom,low,330,left
1,7,noobda,high,240,left,gorm,low,150,right
1,8,noom,low,330,left,gled,low,285,right
1,9,gled,low,285,right,noom,low,330,left
1,10,grah,high,60,left,gorm,low,150,right
1,11,pim,low,105,left,gled,low,285,right
1,12,blit,high,15,left,clate,high,195,right
1,13,noobda,high,240,left,blit,high,15,right
1,14,grah,high,60,right,noobda,high,240,left
1,15,noobda,high,240,right,grah,high,60,left
1,16,gorm,low,150,right,blit,high,15,left
1,17,blit,high,15,right,clate,high,195,left
1,18,clate,high,195,right,pim,low,105,left
1,19,noom,low,330,right,noobda,high,240,left
1,20,clate,high,195,right,blit,high,15,left
1,21,gorm,low,150,right,grah,high,60,left
1,22,blit,high,15,left,noobda,high,240,right
1,23,gled,low,285,left,grah,high,60,right
1,24,noobda,high,240,left,clate,high,195,right
2,1,gorm,low,150,right,blit,high,15,left
2,2,grah,high,60,left,blit,high,15,right
2,3,noobda,high,240,left,gorm,low,150,right
2,4,clate,high,195,right,pim,low,105,left
2,5,pim,low,105,left,clate,high,195,right
2,6,blit,high,15,left,noom,low,330,right
2,7,noom,low,330,right,noobda,high,240,left
2,8,noobda,high,240,left,gled,low,285,right
2,9,clate,high,195,left,blit,high,15,right
2,10,blit,high,15,right,noobda,high,240,left
2,11,clate,high,195,right,gled,low,285,left
2,12,grah,high,60,left,noobda,high,240,right
2,13,blit,high,15,right,clate,high,195,left
2,14,clate,high,195,left,grah,high,60,right
2,15,noobda,high,240,right,blit,high,15,left
2,16,gled,low,285,left,grah,high,60,right
2,17,noobda,high,240,left,gorm,low,150,right
2,18,noom,low,330,right,clate,high,195,left
2,19,blit,high,15,right,clate,high,195,left
2,20,grah,high,60,right,noobda,high,240,left
2,21,gled,low,285,right,grah,high,60,left
2,22,gorm,low,150,left,grah,high,60,right
2,23,pim,low,105,left,noom,low,330,right
2,24,grah,high,60,right,pim,low,105,left
3,1,blit,high,15,right,clate,high,195,left
3,2,noom,low,330,right,noobda,high,240,left
3,3,noobda,high,240,left,pim,low,105,right
3,4,grah,high,60,right,blit,high,15,left
