datasource,frequency_ratio,payoff_structure,time_pressure,n_participants,n_trials,mean_responded_lf,mean_rt_ms
exp2-0,1:4,binary,5,39,2306,0.29358196010407633,2854.858629661752
exp2-0,1:4,binary,10,60,3913,0.3133145923843598,3613.0209557883977
exp2-1,1:4,linear,5,51,3147,0.2945662535748332,2675.073085478233
exp2-1,1:4,linear,10,47,3044,0.30486202365308807,3502.382391590013
exp2-2,1:2,binary,5,46,3027,0.3462173769408655,2665.8017839444997
exp2-2,1:2,binary,10,38,2713,0.3818650939918909,3259.4102469590857
exp2-2,1:2,linear,5,50,3246,0.3773875539125077,2782.9488601355515
exp2-2,1:2,linear,10,65,4626,0.3817552961521833,3376.7916126242976
