frequency_ratio,T,p_lf,p_hf,theta
1:2,0.0,0.24848357,0.75151646,0.5
1:2,0.016722408026755852,0.2534794,0.7465206,0.5
1:2,0.033444816053511704,0.25856188,0.74143815,0.5
1:2,0.05016722408026755,0.2637305,0.7362695,0.5
1:2,0.06688963210702341,0.26898456,0.7310154,0.5
1:2,0.08361204013377926,0.27432334,0.72567654,0.5
1:2,0.1003344481605351,0.2797459,0.720254,0.5
1:2,0.11705685618729096,0.2852513,0.7147487,0.5
1:2,0.13377926421404682,0.29083824,0.70916164,0.5
1:2,0.15050167224080266,0.29650572,0.70349437,0.5
1:2,0.16722408026755853,0.30225202,0.6977478,0.5
1:2,0.18394648829431437,0.3080759,0.69192404,0.5
1:2,0.2006688963210702,0.31397557,0.68602437,0.5
1:2,0.21739130434782608,0.31994942,0.68005055,0.5
1:2,0.23411371237458192,0.32599536,0.6740046,0.5
1:2,0.2508361204013378,0.33211154,0.66788846,0.5
1:2,0.26755852842809363,0.33829573,0.6617043,0.5
1:2,0.2842809364548495,0.34454566,0.6554542,0.5
1:2,0.3010033444816053,0.35085905,0.64914095,0.5
1:2,0.3177257525083612,0.35723326,0.6427666,0.5
1:2,0.33444816053511706,0.36366585,0.6363342,0.5
1:2,0.3511705685618729,0.37015393,0.6298461,0.5
1:2,0.36789297658862874,0.37669477,0.62330526,0.5
1:2,0.3846153846153846,0.38328537,0.6167147,0.5
1:2,0.4013377926421404,0.38992268,0.61007726,0.5
1:2,0.4180602006688963,0.39660367,0.60339636,0.5
1:2,0.43478260869565216,0.403325,0.596675,0.5
1:2,0.451505016722408,0.41008344,0.5899165,0.5
1:2,0.46822742474916385,0.41687563,0.5831244,0.5
1:2,0.4849498327759197,0.4236981,0.57630193,0.5
1:2,0.5016722408026756,0.43054727,0.5694527,0.5
1:2,0.5183946488294314,0.43741962,0.5625803,0.5
1:2,0.5351170568561873,0.4443115,0.55568844,0.5
1:2,0.5518394648829431,0.45121938,0.5487806,0.5
1:2,0.568561872909699,0.45813936,0.5418606,0.5
1:2,0.5852842809364548,0.46506792,0.5349321,0.5
1:2,0.6020066889632106,0.47200117,0.52799886,0.5
1:2,0.6187290969899665,0.47893542,0.5210646,0.5
1:2,0.6354515050167224,0.48586687,0.51413316,0.5
1:2,0.6521739130434783,0.49279183,0.50720817,0.5
1:2,0.6688963210702341,0.49970657,0.5002935,0.5
1:2,0.68561872909699,0.50660735,0.4933927,0.5
1:2,0.7023411371237458,0.51349044,0.4865095,0.5
1:2,0.7190635451505016,0.5203523,0.47964773,0.5
1:2,0.7357859531772575,0.5271894,0.47281078,0.5
1:2,0.7525083612040133,0.5339978,0.46600217,0.5
1:2,0.7692307692307692,0.5407744,0.45922545,0.5
1:2,0.785953177257525,0.5475158,0.45248422,0.5
1:2,0.8026755852842808,0.55421853,0.4457815,0.5
1:2,0.8193979933110368,0.5608793,0.43912083,0.5
1:2,0.8361204013377926,0.5674949,0.4325051,0.5
1:2,0.8528428093645485,0.5740624,0.4259377,0.5
1:2,0.8695652173913043,0.5805786,0.41942143,0.5
1:2,0.8862876254180602,0.5870407,0.41295922,0.5
1:2,0.903010033444816,0.5934461,0.40655392,0.5
1:2,0.9197324414715718,0.59979194,0.40020815,0.5
1:2,0.9364548494983277,0.6060755,0.3939244,0.5
1:2,0.9531772575250835,0.6122947,0.3877052,0.5
1:2,0.9698996655518394,0.618447,0.38155296,0.5
1:2,0.9866220735785953,0.6245303,0.3754697,0.5
1:2,1.0033444816053512,0.6305424,0.36945757,0.5
1:2,1.020066889632107,0.63648134,0.36351863,0.5
1:2,1.0367892976588629,0.6423455,0.35765454,0.5
1:2,1.0535117056856187,0.64813286,0.3518671,0.5
