frequency_ratio,payoff_structure,B_hf,T_5,T_10
1:2,linear,0.298754706611267,2.345149545627904,2.799286940024614
1:2,binary,0.298754706611267,2.7027857537845015,2.8582801537234586
1:4,linear,0.5356554305610775,2.7652623108524796,2.6755585488107423
1:4,binary,0.5356554305610775,2.7445283201044655,3.044559603583692
