frequency_ratio,payoff_structure,T,p_lf,p_hf,theta
1:2,linear,0.2,0.37645754,0.62354255,0.5
1:2,linear,0.21605351170568562,0.38367078,0.61632925,0.5
1:2,linear,0.23210702341137124,0.39093557,0.60906446,0.5
1:2,linear,0.24816053511705688,0.39824903,0.60175097,0.5
1:2,linear,0.26421404682274247,0.40560824,0.5943918,0.5
1:2,linear,0.2802675585284281,0.41301006,0.58699,0.5
1:2,linear,0.2963210702341137,0.4204514,0.5795486,0.5
1:2,linear,0.31237458193979933,0.42792907,0.57207084,0.5
1:2,linear,0.328428093645485,0.43543983,0.5645602,0.5
1:2,linear,0.34448160535117056,0.44298032,0.5570196,0.5
1:2,linear,0.36053511705685615,0.45054722,0.54945284,0.5
1:2,linear,0.3765886287625418,0.45813704,0.54186296,0.5
1:2,linear,0.39264214046822743,0.4657464,0.5342537,0.5
1:2,linear,0.408695652173913,0.47337157,0.5266284,0.5
1:2,linear,0.42474916387959866,0.48100933,0.5189907,0.5
1:2,linear,0.4408026755852843,0.4886559,0.51134413,0.5
1:2,linear,0.4568561872909699,0.49630785,0.5036922,0.5
1:2,linear,0.4729096989966555,0.50396144,0.49603847,0.5
1:2,linear,0.4889632107023411,0.5116132,0.48838672,0.5
1:2,linear,0.5050167224080268,0.51925963,0.48074043,0.5
1:2,linear,0.5210702341137123,0.52689695,0.4731031,0.5
1:2,linear,0.537123745819398,0.5345217,0.4654783,0.5
1:2,linear,0.5531772575250835,0.54213035,0.4578696,0.5
1:2,linear,0.5692307692307692,0.54971945,0.45028055,0.5
1:2,linear,0.5852842809364549,0.55728537,0.4427145,0.5
1:2,linear,0.6013377926421404,0.56482494,0.43517506,0.5
1:2,linear,0.6173913043478261,0.57233465,0.4276654,0.5
1:2,linear,0.6334448160535117,0.5798111,0.4201889,0.5
1:2,linear,0.6494983277591972,0.58725107,0.41274887,0.5
1:2,linear,0.6655518394648829,0.59465146,0.40534854,0.5
1:2,linear,0.6816053511705685,0.6020091,0.397991,0.5
1:2,linear,0.6976588628762541,0.6093209,0.39067912,0.5
1:2,linear,0.7137123745819398,0.616584,0.3834161,0.5
1:2,linear,0.7297658862876253,0.6237954,0.37620473,0.5
1:2,linear,0.745819397993311,0.63095224,0.36904776,0.5
