dist_to_lf,responded_lf,time_pressure,frequency_ratio
21.0,0,5,1:2
44.0,0,5,1:2
15.0,1,5,1:2
29.0,0,5,1:2
30.0,0,5,1:2
12.0,0,5,1:2
26.0,0,5,1:2
36.0,0,5,1:2
17.0,1,5,1:2
37.0,0,5,1:2
2.0,1,5,1:2
33.0,0,5,1:2
35.0,0,5,1:2
27.0,0,5,1:2
3.0,1,5,1:2
33.0,0,5,1:2
42.0,0,5,1:2
34.0,0,5,1:2
40.0,0,5,1:2
37.0,0,5,1:2
26.0,0,5,1:2
15.0,1,5,1:2
2.0,1,5,1:2
21.0,1,5,1:2
41.0,0,5,1:2
23.0,0,5,1:2
43.0,0,5,1:2
3.0,1,5,1:2
14.0,1,5,1:2
37.0,0,5,1:2
32.0,0,5,1:2
24.0,0,5,1:2
43.0,0,5,1:2
11.0,1,5,1:2
42.0,0,5,1:2
27.0,0,5,1:2
38.0,0,5,1:2
27.0,0,5,1:2
39.0,0,5,1:2
44.0,0,5,1:2
37.0,0,5,1:2
22.0,1,5,1:2
42.0,0,5,1:2
11.0,0,5,1:2
8.0,1,5,1:2
