frequency_ratio,payoff_structure,T,p_lf,p_hf,theta
1:2,linear,1.0668896321070234,0.37434435,0.62565565,0.25
1:2,linear,1.0829431438127088,0.37528023,0.62471986,0.25
1:2,linear,1.0989966555183945,0.37620705,0.623793,0.25
1:2,linear,1.1150501672240802,0.3771249,0.6228751,0.25
1:2,linear,1.1311036789297657,0.37803382,0.6219661,0.25
1:2,linear,1.1471571906354514,0.37893385,0.6210661,0.25
1:2,linear,1.163210702341137,0.37982506,0.620175,0.25
1:2,linear,1.1792642140468226,0.38070744,0.6192928,0.25
1:2,linear,1.1953177257525083,0.38158095,0.6184192,0.25
1:2,linear,1.2113712374581938,0.3824457,0.6175544,0.25
1:2,linear,1.2274247491638794,0.38330165,0.6166982,0.25
1:2,linear,1.2434782608695651,0.3841491,0.6158509,0.25
1:2,linear,1.2595317725752506,0.38498783,0.6150123,0.25
1:2,linear,1.2755852842809363,0.38581792,0.61418205,0.25
1:2,linear,1.291638795986622,0.3866396,0.6133606,0.25
1:2,linear,1.3076923076923075,0.3874526,0.6125474,0.25
1:2,linear,1.3237458193979932,0.3882572,0.6117427,0.25
1:2,linear,1.3397993311036787,0.38905352,0.61094666,0.25
1:2,linear,1.3558528428093644,0.38984135,0.61015874,0.25
1:2,linear,1.37190635451505,0.39062092,0.60937923,0.25
1:2,linear,1.3879598662207355,0.3913921,0.6086078,0.25
1:2,linear,1.4040133779264212,0.39215514,0.60784477,0.25
1:2,linear,1.420066889632107,0.39291006,0.60708994,0.25
1:2,linear,1.4361204013377924,0.3936569,0.60634327,0.25
1:2,linear,1.452173913043478,0.3943955,0.6056044,0.25
1:2,linear,1.4682274247491638,0.39512622,0.6048737,0.25
1:2,linear,1.4842809364548493,0.395849,0.604151,0.25
1:2,linear,1.500334448160535,0.39656377,0.6034361,0.25
1:2,linear,1.5163879598662207,0.39727083,0.6027293,0.25
1:2,linear,1.5324414715719061,0.39796996,0.6020301,0.25
1:2,linear,1.5484949832775918,0.39866138,0.6013387,0.25
1:2,linear,1.5645484949832773,0.39934516,0.6006551,0.25
1:2,linear,1.580602006688963,0.40002126,0.5999789,0.25
1:2,linear,1.5966555183946487,0.40068966,0.5993102,0.25
1:2,linear,1.6127090301003342,0.4013507,0.59864926,0.25
1:2,linear,1.6287625418060199,0.40200427,0.5979958,0.25
1:2,linear,1.6448160535117056,0.40265042,0.59734964,0.25
1:2,linear,1.660869565217391,0.4032892,0.5967109,0.25
1:2,linear,1.6769230769230767,0.4039206,0.5960793,0.25
1:2,linear,1.6929765886287624,0.40454495,0.59545517,0.25
1:2,linear,1.709030100334448,0.405162,0.5948381,0.25
1:2,linear,1.7250836120401336,0.40577197,0.59422815,0.25
1:2,linear,1.7411371237458193,0.40637484,0.5936252,0.25
1:2,linear,1.7571906354515048,0.40697074,0.5930292,0.25
1:2,linear,1.7732441471571905,0.40755975,0.59244037,0.25
1:2,linear,1.789297658862876,0.40814173,0.59185815,0.25
1:2,linear,1.8053511705685616,0.40871698,0.59128296,0.25
1:2,linear,1.8214046822742473,0.4092855,0.5907145,0.25
1:2,linear,1.8374581939799328,0.40984726,0.59015286,0.25
1:2,linear,1.8535117056856185,0.4104023,0.58959764,0.25
1:2,linear,1.8695652173913042,0.4109508,0.5890491,0.25
1:2,linear,1.8856187290969897,0.41149285,0.5885072,0.25
1:2,linear,1.9016722408026754,0.41202837,0.5879716,0.25
1:2,linear,1.917725752508361,0.4125575,0.58744264,0.25
1:2,linear,1.9337792642140466,0.41308028,0.5869199,0.25
1:2,linear,1.9498327759197323,0.4135967,0.58640337,0.25
1:2,linear,1.9658862876254177,0.41410694,0.5858932,0.25
1:2,linear,1.9819397993311034,0.41461086,0.5853891,0.25
1:2,linear,1.9979933110367891,0.4151088,0.58489114,0.25
1:2,linear,2.0140468227424746,0.41560066,0.58439934,0.25
1:2,linear,2.0301003344481603,0.4160866,0.5839135,0.25
1:2,linear,2.046153846153846,0.41656643,0.5834335,0.25
1:2,linear,2.0622073578595317,0.41704053,0.5829594,0.25
1:2,linear,2.0782608695652174,0.41750875,0.5824914,0.25
1:2,linear,2.094314381270903,0.41797113,0.58202887,0.25
1:2,linear,2.1103678929765883,0.41842782,0.5815722,0.25
1:2,linear,2.126421404682274,0.41887894,0.5811212,0.25
1:2,linear,2.1424749163879597,0.41932434,0.5806757,0.25
1:2,linear,2.1585284280936454,0.41976422,0.5802357,0.25
