frequency_ratio,word,baseline,slope,t,activation
1:2,HF,0.5001013506901814,0.07671974615145677,0.0,0.5001013506901814
1:2,HF,0.5001013506901814,0.07671974615145677,0.12244897959183673,0.5094956053209719
1:2,HF,0.5001013506901814,0.07671974615145677,0.24489795918367346,0.5188898599517626
1:2,HF,0.5001013506901814,0.07671974615145677,0.36734693877551017,0.5282841145825532
1:2,HF,0.5001013506901814,0.07671974615145677,0.4897959183673469,0.5376783692133439
1:2,HF,0.5001013506901814,0.07671974615145677,0.6122448979591837,0.5470726238441345
1:2,HF,0.5001013506901814,0.07671974615145677,0.7346938775510203,0.5564668784749252
1:2,HF,0.5001013506901814,0.07671974615145677,0.8571428571428571,0.5658611331057157
1:2,HF,0.5001013506901814,0.07671974615145677,0.9795918367346939,0.5752553877365063
1:2,HF,0.5001013506901814,0.07671974615145677,1.1020408163265305,0.584649642367297
1:2,HF,0.5001013506901814,0.07671974615145677,1.2244897959183674,0.5940438969980876
1:2,HF,0.5001013506901814,0.07671974615145677,1.346938775510204,0.6034381516288783
1:2,HF,0.5001013506901814,0.07671974615145677,1.4693877551020407,0.6128324062596688
1:2,HF,0.5001013506901814,0.07671974615145677,1.5918367346938775,0.6222266608904595
1:2,HF,0.5001013506901814,0.07671974615145677,1.7142857142857142,0.6316209155212501
1:2,HF,0.5001013506901814,0.07671974615145677,1.836734693877551,0.6410151701520408
1:2,HF,0.5001013506901814,0.07671974615145677,1.9591836734693877,0.6504094247828314
1:2,HF,0.5001013506901814,0.07671974615145677,2.0816326530612246,0.659803679413622
1:2,HF,0.5001013506901814,0.07671974615145677,2.204081632653061,0.6691979340444125
1:2,HF,0.5001013506901814,0.07671974615145677,2.326530612244898,0.6785921886752032
1:2,HF,0.5001013506901814,0.07671974615145677,2.4489795918367347,0.6879864433059939
1:2,HF,0.5001013506901814,0.07671974615145677,2.571428571428571,0.6973806979367845
1:2,HF,0.5001013506901814,0.07671974615145677,2.693877551020408,0.706774952567575
1:2,HF,0.5001013506901814,0.07671974615145677,2.816326530612245,0.7161692071983657
1:2,HF,0.5001013506901814,0.07671974615145677,2.9387755102040813,0.7255634618291563
1:2,HF,0.5001013506901814,0.07671974615145677,3.061224489795918,0.734957716459947
1:2,HF,0.5001013506901814,0.07671974615145677,3.183673469387755,0.7443519710907376
1:2,HF,0.5001013506901814,0.07671974615145677,3.306122448979592,0.7537462257215282
1:2,HF,0.5001013506901814,0.07671974615145677,3.4285714285714284,0.7631404803523189
1:2,HF,0.5001013506901814,0.07671974615145677,3.5510204081632653,0.7725347349831095
1:2,HF,0.5001013506901814,0.07671974615145677,3.673469387755102,0.7819289896139001
1:2,HF,0.5001013506901814,0.07671974615145677,3.7959183673469385,0.7913232442446907
1:2,HF,0.5001013506901814,0.07671974615145677,3.9183673469387754,0.8007174988754813
1:2,HF,0.5001013506901814,0.07671974615145677,4.040816326530612,0.810111753506272
1:2,HF,0.5001013506901814,0.07671974615145677,4.163265306122449,0.8195060081370626
1:2,HF,0.5001013506901814,0.07671974615145677,4.285714285714286,0.8289002627678532
1:2,HF,0.5001013506901814,0.07671974615145677,4.408163265306122,0.8382945173986438
1:2,HF,0.5001013506901814,0.07671974615145677,4.530612244897959,0.8476887720294345
1:2,HF,0.5001013506901814,0.07671974615145677,4.653061224489796,0.8570830266602251
1:2,HF,0.5001013506901814,0.07671974615145677,4.775510204081632,0.8664772812910158
1:2,HF,0.5001013506901814,0.07671974615145677,4.8979591836734695,0.8758715359218063
1:2,HF,0.5001013506901814,0.07671974615145677,5.020408163265306,0.8852657905525969
1:2,HF,0.5001013506901814,0.07671974615145677,5.142857142857142,0.8946600451833875
1:2,HF,0.5001013506901814,0.07671974615145677,5.26530612244898,0.9040542998141783
1:2,HF,0.5001013506901814,0.07671974615145677,5.387755102040816,0.9134485544449689
